;Lead 1 (square)
R 0 3840
Gb6 15 705
R 0 15
Gb6 15 239
R 0 1
G6 15 239
R 0 1
Gb6 15 239
R 0 1
E6 15 239
R 0 1
D6 15 239
R 0 1
E6 15 479
R 0 1
A5 15 1444
R 0 716
D6 15 2
R 0 238
E6 15 239
R 0 1
D6 15 239
R 0 1
Db6 15 239
R 0 1
Bb5 15 239
R 0 1
Db6 15 479
R 0 1
Gb5 15 1444
R 0 716
Db6 15 239
R 0 1
D6 15 479
R 0 1
E6 15 479
R 0 1
Gb6 15 479
R 0 1
G6 15 479
R 0 1
A6 15 479
R 0 1
G6 15 239
R 0 1
Gb6 15 239
R 0 1
E6 15 479
R 0 1
Bb5 15 722
R 0 238
Db6 15 239
R 0 1
D6 15 239
R 0 1
Gb6 15 962
R 0 958
Gb6 15 705
R 0 15
Gb6 15 239
R 0 1
G6 15 239
R 0 1
Gb6 15 239
R 0 1
E6 15 239
R 0 1
D6 15 239
R 0 1
E6 15 479
R 0 1
A5 15 1444
R 0 716
D6 15 2
R 0 238
E6 15 239
R 0 1
D6 15 239
R 0 1
Db6 15 239
R 0 1
Bb5 15 239
R 0 1
Db6 15 479
R 0 1
Gb5 15 1444
R 0 716
Db6 15 239
R 0 1
D6 15 479
R 0 1
E6 15 479
R 0 1
Gb6 15 479
R 0 1
G6 15 479
R 0 1
A6 15 479
R 0 1
G6 15 239
R 0 1
Gb6 15 239
R 0 1
E6 15 479
R 0 1
Bb5 15 722
R 0 238
Db6 15 239
R 0 1
D6 15 239
R 0 1
Gb6 15 962
R 0 957
CMD 0 0
;Total length 33602
